season,date,team1,team2,toss_winner,toss_decision,winner,venue
2023,6/29/2023,Zimbabwe,Oman,Oman,field,Zimbabwe,"Queens Sports Club, Bulawayo"
2023,6/27/2023,Sri Lanka,Scotland,Scotland,field,Sri Lanka,"Queens Sports Club, Bulawayo"
2023,6/27/2023,Ireland,United Arab Emirates,United Arab Emirates,field,Ireland,Bulawayo Athletic Club
2023,6/26/2023,Zimbabwe,United States of America,United States of America,field,Zimbabwe,Harare Sports Club
2023,6/26/2023,West Indies,Netherlands,Netherlands,field,,"Takashinga Sports Club, Highfield, Harare"
2023,6/25/2023,Sri Lanka,Ireland,Ireland,field,Sri Lanka,"Queens Sports Club, Bulawayo"
2023,6/25/2023,Scotland,Oman,Oman,field,Scotland,Bulawayo Athletic Club
2023,6/24/2023,Nepal,Netherlands,Netherlands,field,Netherlands,"Takashinga Sports Club, Highfield, Harare"
2023,6/24/2023,Zimbabwe,West Indies,West Indies,field,Zimbabwe,Harare Sports Club
2023,6/23/2023,Scotland,United Arab Emirates,United Arab Emirates,field,Scotland,Bulawayo Athletic Club
2023,6/23/2023,Oman,Sri Lanka,Sri Lanka,field,Sri Lanka,"Queens Sports Club, Bulawayo"
2023,6/22/2023,West Indies,Nepal,Nepal,field,West Indies,Harare Sports Club
2023,6/22/2023,United States of America,Netherlands,Netherlands,field,Netherlands,"Takashinga Sports Club, Highfield, Harare"
2023,6/21/2023,United Arab Emirates,Oman,Oman,field,Oman,Bulawayo Athletic Club
2023,6/21/2023,Ireland,Scotland,Scotland,field,Scotland,"Queens Sports Club, Bulawayo"
2023,6/20/2023,Netherlands,Zimbabwe,Zimbabwe,field,Zimbabwe,Harare Sports Club
2023,6/20/2023,United States of America,Nepal,Nepal,field,Nepal,"Takashinga Sports Club, Highfield, Harare"
2023,6/19/2023,Ireland,Oman,Oman,field,Oman,Bulawayo Athletic Club
2023,6/19/2023,Sri Lanka,United Arab Emirates,United Arab Emirates,field,Sri Lanka,"Queens Sports Club, Bulawayo"
2023,6/18/2023,West Indies,United States of America,United States of America,field,West Indies,"Takashinga Sports Club, Highfield, Harare"
2023,6/18/2023,Nepal,Zimbabwe,Zimbabwe,field,Zimbabwe,Harare Sports Club
2023,6/9/2023,United Arab Emirates,West Indies,United Arab Emirates,bat,West Indies,Sharjah Cricket Stadium
2023,6/7/2023,Afghanistan,Sri Lanka,Afghanistan,bat,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
2023,6/6/2023,West Indies,United Arab Emirates,West Indies,bat,West Indies,Sharjah Cricket Stadium
2023,6/4/2023,United Arab Emirates,West Indies,United Arab Emirates,bat,West Indies,Sharjah Cricket Stadium
2023,6/4/2023,Sri Lanka,Afghanistan,Sri Lanka,bat,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
2023,6/2/2023,Sri Lanka,Afghanistan,Afghanistan,field,Afghanistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
2023,5/14/2023,Bangladesh,Ireland,Ireland,field,Bangladesh,"County Ground, Chelmsford"
2023,5/12/2023,Ireland,Bangladesh,Bangladesh,field,Bangladesh,"County Ground, Chelmsford"
2023,5/9/2023,Bangladesh,Ireland,Ireland,field,,"County Ground, Chelmsford"
2023,5/7/2023,New Zealand,Pakistan,New Zealand,bat,New Zealand,"National Stadium, Karachi"
2023,5/5/2023,Pakistan,New Zealand,New Zealand,field,Pakistan,"National Stadium, Karachi"
2023,5/3/2023,Pakistan,New Zealand,New Zealand,field,Pakistan,"National Stadium, Karachi"
2023,5/2/2023,United Arab Emirates,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2023,4/29/2023,New Zealand,Pakistan,Pakistan,field,Pakistan,Rawalpindi Cricket Stadium
2023,4/29/2023,United Arab Emirates,Oman,Oman,field,United Arab Emirates,Mulpani Cricket Ground
2023,4/27/2023,New Zealand,Pakistan,Pakistan,field,Pakistan,Rawalpindi Cricket Stadium
2023,4/21/2023,Nepal,Oman,Oman,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2023,4/5/2023,Canada,Papua New Guinea,Canada,bat,Canada,"United Cricket Club Ground, Windhoek"
2023,4/5/2023,United Arab Emirates,Jersey,United Arab Emirates,bat,United Arab Emirates,"Wanderers Cricket Ground, Windhoek"
2023,4/4/2023,United States of America,Jersey,Jersey,field,United States of America,"United Cricket Club Ground, Windhoek"
2023,4/4/2023,Namibia,Canada,Namibia,bat,Namibia,"Wanderers Cricket Ground, Windhoek"
2023,4/2/2023,United States of America,Papua New Guinea,United States of America,bat,United States of America,"Wanderers Cricket Ground, Windhoek"
2022/23,4/2/2023,South Africa,Netherlands,Netherlands,field,South Africa,"The Wanderers Stadium, Johannesburg"
2023,4/2/2023,United Arab Emirates,Namibia,Namibia,field,United Arab Emirates,"United Cricket Club Ground, Windhoek"
2023,4/1/2023,Jersey,Papua New Guinea,Jersey,bat,Jersey,"United Cricket Club Ground, Windhoek"
2023,4/1/2023,Canada,United Arab Emirates,Canada,bat,United Arab Emirates,"Wanderers Cricket Ground, Windhoek"
2022/23,3/31/2023,Netherlands,South Africa,South Africa,field,South Africa,"Willowmoore Park, Benoni"
2022/23,3/31/2023,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,"Seddon Park, Hamilton"
2023,3/30/2023,Jersey,Namibia,Jersey,bat,Namibia,"Wanderers Cricket Ground, Windhoek"
2023,3/30/2023,United Arab Emirates,United States of America,United Arab Emirates,bat,United States of America,"United Cricket Club Ground, Windhoek"
2023,3/29/2023,Canada,United States of America,United States of America,field,Canada,"Wanderers Cricket Ground, Windhoek"
2023,3/27/2023,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,United Arab Emirates,"Wanderers Cricket Ground, Windhoek"
2023,3/26/2023,United States of America,Namibia,Namibia,field,United States of America,"Wanderers Cricket Ground, Windhoek"
2022/23,3/25/2023,New Zealand,Sri Lanka,Sri Lanka,field,New Zealand,"Eden Park, Auckland"
2022/23,3/25/2023,Netherlands,Zimbabwe,Netherlands,bat,Zimbabwe,Harare Sports Club
2022/23,3/23/2023,Ireland,Bangladesh,Ireland,bat,Bangladesh,Sylhet International Cricket Stadium
2022/23,3/23/2023,Zimbabwe,Netherlands,Zimbabwe,bat,Zimbabwe,Harare Sports Club
2022/23,3/22/2023,Australia,India,Australia,bat,Australia,"MA Chidambaram Stadium, Chepauk, Chennai"
2022/23,3/21/2023,West Indies,South Africa,South Africa,field,South Africa,"Senwes Park, Potchefstroom"
2022/23,3/21/2023,Zimbabwe,Netherlands,Netherlands,field,Netherlands,Harare Sports Club
2022/23,3/20/2023,Bangladesh,Ireland,Ireland,field,,Sylhet International Cricket Stadium
2022/23,3/19/2023,India,Australia,Australia,field,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
2022/23,3/18/2023,Bangladesh,Ireland,Ireland,field,Bangladesh,Sylhet International Cricket Stadium
2022/23,3/18/2023,West Indies,South Africa,West Indies,bat,West Indies,"Buffalo Park, East London"
2022/23,3/17/2023,Australia,India,India,field,India,"Wankhede Stadium, Mumbai"
2022/23,3/16/2023,United Arab Emirates,Nepal,United Arab Emirates,bat,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,3/15/2023,Papua New Guinea,United Arab Emirates,Papua New Guinea,bat,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,3/13/2023,Papua New Guinea,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,3/12/2023,Nepal,United Arab Emirates,Nepal,bat,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,3/10/2023,Papua New Guinea,United Arab Emirates,United Arab Emirates,field,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,3/9/2023,Nepal,Papua New Guinea,Papua New Guinea,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,3/6/2023,Nepal,United Arab Emirates,Nepal,bat,Nepal,Dubai International Cricket Stadium
2022/23,3/6/2023,Bangladesh,England,Bangladesh,bat,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2022/23,3/5/2023,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,Dubai International Cricket Stadium
2022/23,3/3/2023,Papua New Guinea,Nepal,Papua New Guinea,bat,Nepal,Dubai International Cricket Stadium
2022/23,3/3/2023,England,Bangladesh,Bangladesh,field,England,"Shere Bangla National Stadium, Mirpur"
2022/23,3/2/2023,United Arab Emirates,Nepal,Nepal,field,United Arab Emirates,Dubai International Cricket Stadium
2022/23,3/1/2023,Bangladesh,England,Bangladesh,bat,England,"Shere Bangla National Stadium, Mirpur"
2022/23,2/28/2023,Papua New Guinea,United Arab Emirates,United Arab Emirates,field,Papua New Guinea,Dubai International Cricket Stadium
2022/23,2/25/2023,United Arab Emirates,Namibia,Namibia,field,Namibia,Dubai International Cricket Stadium
2022/23,2/23/2023,Namibia,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,Dubai International Cricket Stadium
2022/23,2/21/2023,Scotland,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,2/20/2023,Scotland,Namibia,Namibia,field,Scotland,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,2/18/2023,Namibia,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,2/17/2023,Scotland,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,2/15/2023,Namibia,Scotland,Scotland,field,Scotland,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,2/14/2023,Namibia,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,2/1/2023,England,South Africa,South Africa,field,England,"Diamond Oval, Kimberley"
2022/23,1/29/2023,England,South Africa,South Africa,field,South Africa,"Mangaung Oval, Bloemfontein"
2022/23,1/27/2023,South Africa,England,South Africa,bat,South Africa,"Mangaung Oval, Bloemfontein"
2022/23,1/24/2023,India,New Zealand,New Zealand,field,India,"Holkar Cricket Stadium, Indore"
2022/23,1/23/2023,Zimbabwe,Ireland,Zimbabwe,bat,,Harare Sports Club
2022/23,1/21/2023,Ireland,Zimbabwe,Zimbabwe,field,Ireland,Harare Sports Club
2022/23,1/21/2023,New Zealand,India,India,field,India,"Shaheed Veer Narayan Singh International Stadium, Raipur"
2022/23,1/18/2023,India,New Zealand,India,bat,India,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2022/23,1/18/2023,Ireland,Zimbabwe,Zimbabwe,field,Zimbabwe,Harare Sports Club
2022/23,1/15/2023,India,Sri Lanka,India,bat,India,"Greenfield International Stadium, Thiruvananthapuram"
2022/23,1/13/2023,Pakistan,New Zealand,Pakistan,bat,New Zealand,"National Stadium, Karachi"
2022/23,1/12/2023,Sri Lanka,India,Sri Lanka,bat,India,"Eden Gardens, Kolkata"
2022/23,1/11/2023,New Zealand,Pakistan,New Zealand,bat,New Zealand,"National Stadium, Karachi"
2022/23,1/10/2023,India,Sri Lanka,Sri Lanka,field,India,"Barsapara Cricket Stadium, Guwahati"
2022/23,1/9/2023,New Zealand,Pakistan,Pakistan,field,Pakistan,"National Stadium, Karachi"
2022/23,12/10/2022,India,Bangladesh,Bangladesh,field,India,"Zahur Ahmed Chowdhury Stadium, Chattogram"
2022/23,12/8/2022,Nepal,Scotland,Nepal,bat,Scotland,"United Cricket Club Ground, Windhoek"
2022/23,12/7/2022,Bangladesh,India,Bangladesh,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2022/23,12/7/2022,Namibia,Nepal,Nepal,field,Namibia,"United Cricket Club Ground, Windhoek"
2022/23,12/5/2022,Scotland,Namibia,Namibia,field,Namibia,"United Cricket Club Ground, Windhoek"
2022/23,12/4/2022,Nepal,Scotland,Scotland,field,Scotland,"United Cricket Club Ground, Windhoek"
2022/23,12/4/2022,India,Bangladesh,Bangladesh,field,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2022/23,12/2/2022,Nepal,Namibia,Namibia,field,,"United Cricket Club Ground, Windhoek"
2022/23,12/1/2022,Namibia,Scotland,Scotland,field,Scotland,"United Cricket Club Ground, Windhoek"
2022/23,11/30/2022,India,New Zealand,New Zealand,field,,"Hagley Oval, Christchurch"
2022/23,11/30/2022,Afghanistan,Sri Lanka,Afghanistan,bat,Sri Lanka,Pallekele International Cricket Stadium
2022/23,11/27/2022,India,New Zealand,New Zealand,field,,"Seddon Park, Hamilton"
2022/23,11/27/2022,Afghanistan,Sri Lanka,Afghanistan,bat,,Pallekele International Cricket Stadium
2022/23,11/26/2022,United States of America,Namibia,Namibia,field,Namibia,"Wanderers Cricket Ground, Windhoek"
2022/23,11/25/2022,India,New Zealand,New Zealand,field,New Zealand,"Eden Park, Auckland"
2022/23,11/25/2022,Afghanistan,Sri Lanka,Afghanistan,bat,Afghanistan,Pallekele International Cricket Stadium
2022/23,11/25/2022,United States of America,Papua New Guinea,United States of America,bat,United States of America,"Wanderers Cricket Ground, Windhoek"
2022/23,11/23/2022,Papua New Guinea,Namibia,Papua New Guinea,bat,Namibia,"Wanderers Cricket Ground, Windhoek"
2022/23,11/22/2022,Papua New Guinea,United States of America,United States of America,field,United States of America,"Wanderers Cricket Ground, Windhoek"
2022/23,11/22/2022,Australia,England,England,field,Australia,Melbourne Cricket Ground
2022/23,11/20/2022,United States of America,Namibia,Namibia,field,United States of America,"Wanderers Cricket Ground, Windhoek"
2022/23,11/19/2022,Australia,England,Australia,bat,Australia,Sydney Cricket Ground
2022/23,11/19/2022,Papua New Guinea,Namibia,Namibia,field,Namibia,"Wanderers Cricket Ground, Windhoek"
2022/23,11/18/2022,United Arab Emirates,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,11/17/2022,England,Australia,Australia,field,Australia,Adelaide Oval
2022/23,11/16/2022,United Arab Emirates,Nepal,United Arab Emirates,bat,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,11/14/2022,United Arab Emirates,Nepal,Nepal,field,United Arab Emirates,"Tribhuvan University International Cricket Ground, Kirtipur"
2022/23,10/11/2022,South Africa,India,India,field,India,"Arun Jaitley Stadium, Delhi"
2022/23,10/9/2022,South Africa,India,South Africa,bat,India,"JSCA International Stadium Complex, Ranchi"
2022/23,10/6/2022,South Africa,India,India,field,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2022,9/21/2022,Namibia,Papua New Guinea,Namibia,bat,Namibia,"Amini Park, Port Moresby"
2022,9/20/2022,Namibia,Papua New Guinea,Namibia,bat,Namibia,"Amini Park, Port Moresby"
2022,9/17/2022,Namibia,United States of America,United States of America,field,Namibia,"Amini Park, Port Moresby"
2022,9/15/2022,Namibia,United States of America,Namibia,bat,Namibia,"Amini Park, Port Moresby"
2022,9/13/2022,Papua New Guinea,United States of America,United States of America,field,Papua New Guinea,"Amini Park, Port Moresby"
2022,9/11/2022,United States of America,Papua New Guinea,Papua New Guinea,field,,"Amini Park, Port Moresby"
2022,9/11/2022,Australia,New Zealand,New Zealand,field,Australia,"Cazaly's Stadium, Cairns"
2022,9/8/2022,Australia,New Zealand,New Zealand,field,Australia,"Cazaly's Stadium, Cairns"
2022,9/6/2022,New Zealand,Australia,Australia,field,Australia,"Cazaly's Stadium, Cairns"
2022,9/3/2022,Australia,Zimbabwe,Zimbabwe,field,Zimbabwe,"Riverway Stadium, Townsville"
2022,8/31/2022,Zimbabwe,Australia,Australia,field,Australia,"Tony Ireland Stadium, Townsville"
2022,8/28/2022,Zimbabwe,Australia,Australia,field,Australia,"Tony Ireland Stadium, Townsville"
2022,8/22/2022,India,Zimbabwe,India,bat,India,Harare Sports Club
2022,8/21/2022,West Indies,New Zealand,New Zealand,field,New Zealand,"Kensington Oval, Bridgetown, Barbados"
2022,8/21/2022,Pakistan,Netherlands,Pakistan,bat,Pakistan,"Hazelaarweg, Rotterdam"
2022,8/20/2022,Zimbabwe,India,India,field,India,Harare Sports Club
2022,8/19/2022,New Zealand,West Indies,West Indies,field,New Zealand,"Kensington Oval, Bridgetown, Barbados"
2022,8/18/2022,Zimbabwe,India,India,field,India,Harare Sports Club
2022,8/18/2022,Netherlands,Pakistan,Netherlands,bat,Pakistan,"Hazelaarweg, Rotterdam"
2022,8/17/2022,Scotland,United States of America,United States of America,field,United States of America,"Mannofield Park, Aberdeen"
2022,8/17/2022,New Zealand,West Indies,West Indies,field,West Indies,"Kensington Oval, Bridgetown, Barbados"
2022,8/16/2022,Pakistan,Netherlands,Pakistan,bat,Pakistan,"Hazelaarweg, Rotterdam"
2022,8/14/2022,Scotland,United Arab Emirates,United Arab Emirates,field,Scotland,"Mannofield Park, Aberdeen"
2022,8/13/2022,United States of America,Scotland,Scotland,field,Scotland,"Mannofield Park, Aberdeen"
2022,8/11/2022,United Arab Emirates,United States of America,United Arab Emirates,bat,United States of America,"Mannofield Park, Aberdeen"
2022,8/10/2022,Scotland,United Arab Emirates,Scotland,bat,Scotland,"Mannofield Park, Aberdeen"
2022,8/10/2022,Bangladesh,Zimbabwe,Zimbabwe,field,Bangladesh,Harare Sports Club
2022,8/7/2022,Bangladesh,Zimbabwe,Zimbabwe,field,Zimbabwe,Harare Sports Club
2022,8/5/2022,Bangladesh,Zimbabwe,Zimbabwe,field,Zimbabwe,Harare Sports Club
2022,7/31/2022,Scotland,New Zealand,Scotland,bat,New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
2022,7/27/2022,India,West Indies,India,bat,India,"Queen's Park Oval, Port of Spain, Trinidad"
2022,7/24/2022,West Indies,India,West Indies,bat,India,"Queen's Park Oval, Port of Spain, Trinidad"
2022,7/24/2022,South Africa,England,South Africa,bat,,"Headingley, Leeds"
2022,7/22/2022,England,South Africa,South Africa,field,England,"Old Trafford, Manchester"
2022,7/22/2022,India,West Indies,West Indies,field,India,"Queen's Park Oval, Port of Spain, Trinidad"
2022,7/19/2022,South Africa,England,South Africa,bat,South Africa,"Riverside Ground, Chester-le-Street"
2022,7/17/2022,England,India,India,field,India,"Old Trafford, Manchester"
2022,7/17/2022,Nepal,Scotland,Scotland,field,Scotland,"Titwood, Glasgow"
2022,7/16/2022,West Indies,Bangladesh,Bangladesh,field,Bangladesh,"Providence Stadium, Guyana"
2022,7/16/2022,Namibia,Nepal,Namibia,bat,Namibia,"Cambusdoon New Ground, Ayr"
2022,7/15/2022,New Zealand,Ireland,New Zealand,bat,New Zealand,"The Village, Malahide, Dublin"
2022,7/14/2022,England,India,India,field,England,"Lord's, London"
2022,7/14/2022,Namibia,Scotland,Scotland,field,Scotland,"Titwood, Glasgow"
2022,7/13/2022,Scotland,Nepal,Nepal,field,Nepal,"Titwood, Glasgow"
2022,7/13/2022,West Indies,Bangladesh,Bangladesh,field,Bangladesh,"Providence Stadium, Guyana"
2022,7/12/2022,England,India,India,field,India,"Kennington Oval, London"
2022,7/12/2022,Ireland,New Zealand,New Zealand,field,New Zealand,"The Village, Malahide, Dublin"
2022,7/11/2022,Namibia,Nepal,Namibia,bat,Namibia,"Cambusdoon New Ground, Ayr"
2022,7/10/2022,Ireland,New Zealand,New Zealand,field,New Zealand,"The Village, Malahide, Dublin"
2022,7/10/2022,West Indies,Bangladesh,Bangladesh,field,Bangladesh,"Providence Stadium, Guyana"
2022,6/24/2022,Sri Lanka,Australia,Sri Lanka,bat,Australia,"R Premadasa Stadium, Colombo"
2022,6/22/2022,Netherlands,England,England,field,England,"VRA Ground, Amstelveen"
2022,6/21/2022,Sri Lanka,Australia,Australia,field,Sri Lanka,"R Premadasa Stadium, Colombo"
2022,6/19/2022,Netherlands,England,Netherlands,bat,England,"VRA Ground, Amstelveen"
2022,6/19/2022,Australia,Sri Lanka,Australia,bat,Sri Lanka,"R Premadasa Stadium, Colombo"
2022,6/17/2022,England,Netherlands,Netherlands,field,England,"VRA Ground, Amstelveen"
2022,6/16/2022,Sri Lanka,Australia,Australia,field,Sri Lanka,Pallekele International Cricket Stadium
2022,6/15/2022,United States of America,Nepal,Nepal,field,United States of America,"Moosa Cricket Stadium, Pearland"
2022,6/14/2022,Oman,Nepal,Oman,bat,Nepal,"Moosa Cricket Stadium, Pearland"
2022,6/14/2022,Sri Lanka,Australia,Sri Lanka,bat,Australia,Pallekele International Cricket Stadium
2022,6/12/2022,Pakistan,West Indies,Pakistan,bat,Pakistan,Multan Cricket Stadium
2022,6/12/2022,Oman,United States of America,Oman,bat,Oman,"Moosa Cricket Stadium, Pearland"
2022,6/11/2022,Nepal,United States of America,Nepal,bat,,"Moosa Cricket Stadium, Pearland"
2022,6/10/2022,Pakistan,West Indies,Pakistan,bat,Pakistan,Multan Cricket Stadium
2022,6/9/2022,Zimbabwe,Afghanistan,Afghanistan,field,Afghanistan,Harare Sports Club
2022,6/9/2022,Oman,Nepal,Oman,bat,Oman,"Moosa Cricket Stadium, Pearland"
2022,6/8/2022,United States of America,Oman,Oman,field,United States of America,"Moosa Cricket Stadium, Pearland"
2022,6/8/2022,West Indies,Pakistan,West Indies,bat,Pakistan,Multan Cricket Stadium
2022,6/6/2022,Zimbabwe,Afghanistan,Afghanistan,field,Afghanistan,Harare Sports Club
2022,6/4/2022,West Indies,Netherlands,West Indies,bat,West Indies,"VRA Ground, Amstelveen"
2022,6/4/2022,Afghanistan,Zimbabwe,Zimbabwe,field,Afghanistan,Harare Sports Club
2022,6/4/2022,United States of America,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,"Moosa Cricket Stadium, Pearland"
2022,6/3/2022,Scotland,United Arab Emirates,Scotland,bat,United Arab Emirates,"Moosa Cricket Stadium, Pearland"
2022,6/2/2022,Netherlands,West Indies,Netherlands,bat,West Indies,"VRA Ground, Amstelveen"
2022,6/1/2022,United Arab Emirates,United States of America,United Arab Emirates,bat,United States of America,"Moosa Cricket Stadium, Pearland"
2022,5/31/2022,United Arab Emirates,Scotland,United Arab Emirates,bat,Scotland,"Moosa Cricket Stadium, Pearland"
2022,5/31/2022,Netherlands,West Indies,West Indies,field,West Indies,"VRA Ground, Amstelveen"
2022,5/29/2022,Scotland,United States of America,Scotland,bat,Scotland,"Choice Moosa Stadium, Pearland"
2022,5/28/2022,United States of America,Scotland,United States of America,bat,United States of America,"Choice Moosa Stadium, Pearland"
